
insert into TabladeTarjetas values(340383198517962, 'American Express', 'American Express', 'Karly M Soria', '42583', '46600', '23', '7758', '6065'),
(4301348645383310, 'Visa', 'Chase', 'Jacqueline W Vega', '40210', '42767', '19', '304', '9530'),
(372309650503522, 'American Express', 'Bank of America', 'Alec H Rutherford', '39142', '43160', '1', '2998', '6545'),
(5290262971006280, 'Master Card', 'Bank of America', 'Thelma Delaney', '41579', '42675', '21', '31', '8755'),
(3573083849323530, 'Japan Credit Bureau', 'JCB', 'Cortez T Schwab', '41426', '46905', '12', '194', '6731'),
(6011464273285540, 'Discover', 'Discover', 'Rebecca P Norman', '40848', '43770', '14', '644', '5860'),
(6011356392127080, 'Discover', 'Discover', 'Katie D Cook', '42948', '44774', '16', '89', '8679'),
(345715549032123, 'American Express', 'American Express', 'George D Stevenson', '42125', '42491', '10', '2577', '1476'),
(4076494116010960, 'Visa', 'Bank of America', 'Marcene A Fraser', '42917', '47665', '9', '421', '3698'),
(30285952511658, 'Diners Club International', 'Diners Club', 'Lloyd Duncan', '43040', '44136', '22', '870', '2070'),
(5463242876280540, 'Master Card', 'Citibank', 'Marianna R Pringle', '41791', '46905', '28', '314', '1213'),
(344084381479830, 'American Express', 'American Express', 'Samantha R Mcmahon', '41456', '46204', '17', '6633', '2880'),
(6011878480126660, 'Discover', 'Discover', 'Brenda V Dollar', '41671', '47150', '6', '604', '4965'),
(4236863345022200, 'Visa', 'USAA', 'Harry Y Aguilar', '40026', '43678', '15', '501', '4325'),
(30249482895122, 'Diners Club International', 'Diners Club', 'Kurtis Q Sallee', '41487', '42217', '20', '600', '8776'),
(3578760513061250, 'Japan Credit Bureau', 'JCB', 'Ramon F Berry', '42644', '46661', '19', '761', '9705'),
(30135780059562, 'Diners Club International', 'Diners Club', 'Stan Z Bridges', '41030', '42491', '13', '485', '8448'),
(30511596336826, 'Diners Club International', 'Diners Club', 'Calvin L Mooney', '39965', '44713', '11', '876', '4504'),
(4895625432010170, 'Visa', 'USAA', 'Billie Milton', '41913', '42278', '13', '266', '8859'),
(6011369973508900, 'Discover', 'Discover', 'Carrie O Fischer', '39387', '44136', '17', '110', '103'),
(373738342437211, 'American Express', 'American Express', 'Alphonse Z Dexter', '39722', '40817', '7', '769', '7815'),
(4276450530935300, 'Visa', 'Bank of America', 'Beth S Melendez', '42125', '49065', '20', '659', '7227'),
(30904074911881, 'Diners Club International', 'Diners Club', 'Ivan B Hauser', '42522', '43252', '20', '98', '721'),
(5484275452998450, 'Master Card', 'Barclays', 'Mildred E Mercer', '43040', '45597', '13', '599', '6923'),
(6225402522563020, 'Discover', 'Discover', 'Chrystal Atwell', '42248', '48092', '7', '156', '2641'),
(30928603026598, 'Diners Club International', 'Diners Club', 'Tyler E Moran', '39661', '40391', '6', '779', '9393'),
(3582960903050470, 'Japan Credit Bureau', 'JCB', 'Mathew E Gregory', '40878', '41609', '24', '755', '6793'),
(341478391498421, 'American Express', 'U.S. Bancorp', 'Norman Newton', '42583', '47696', '4', '9202', '3494'),
(342131259180552, 'American Express', 'American Express', 'Chang Barden', '40603', '44256', '23', '7061', '1066'),
(5392150478741130, 'Master Card', 'Chase', 'Aaron Morgan', '40848', '43405', '19', '614', '2206'),
(370100685900094, 'American Express', 'American Express', 'Isadora A Greenfield', '41183', '44105', '6', '258', '6589'),
(6011875127267420, 'Discover', 'Discover', 'Eleanor G Wade', '39965', '40695', '8', '284', '1903'),
(4723298133173930, 'Visa', 'Chase', 'Danyelle A Canty', '42005', '43101', '8', '406', '4951'),
(5147557253289170, 'Master Card', 'GE Capital', 'Joe M Holland', '41974', '44531', '27', '269', '5709'),
(6225900625486920, 'Discover', 'Discover', 'Milford A Daniels', '42614', '44075', '19', '180', '3106'),
(5172162371272670, 'Master Card', 'Capital One', 'Annie U Dixon', '40787', '44440', '7', '922', '3780'),
(30961282235594, 'Diners Club International', 'Diners Club', 'Reyes K Guajardo', '42036', '48976', '14', '695', '7535'),
(341662000709993, 'American Express', 'Bank of America', 'George Hodge', '41275', '47119', '7', '3127', '5811'),
(36928444073043, 'Diners Club International', 'Diners Club', 'Carmel K Matney', '42370', '47119', '5', '548', '1736'),
(376138461757423, 'American Express', 'USAA', 'Eleanor Carson', '40940', '42036', '19', '9892', '3576'),
(5306994922312110, 'Master Card', 'Citibank', 'Denny Yamamoto', '40756', '42583', '20', '166', '3588'),
(5132583266210950, 'Master Card', 'Chase', 'Annie C Pearson', '39722', '43739', '20', '475', '3826'),
(36509691438111, 'Diners Club International', 'Diners Club', 'Natosha K Conway', '40695', '45809', '1', '579', '1669'),
(5317578853568930, 'Master Card', 'Bank of America', 'Linda N Allison', '42401', '43132', '27', '822', '4347'),
(4253290217017460, 'Visa', 'Cabela’s WFB', 'Mikki Reece', '41061', '46539', '16', '805', '2071'),
(4132848147142300, 'Visa', 'Bank of America', 'Floyd K Ochoa', '41183', '41913', '28', '253', '8496'),
(5134079032795750, 'Master Card', 'Bank of America', 'Fidel Medlock', '40118', '43770', '16', '788', '9800'),
(6011000051419820, 'Discover', 'Discover', 'Louis X Lynn', '40695', '42522', '9', '233', '6030'),
(6011613831916900, 'Discover', 'Discover', 'Genoveva Ness', '41944', '48884', '18', '554', '1291'),
(5316514555974520, 'Master Card', 'USAA', 'Ramon Acosta', '42795', '44621', '14', '875', '528'),
(5257549848271590, 'Master Card', 'Citibank', 'Charley Honeycutt', '39661', '45870', '7', '639', '7135'),
(4456279259437380, 'Visa', 'U.S. Bancorp', 'Alicia X Bass', '41214', '45962', '25', '724', '6233'),
(6011957847364170, 'Discover', 'Discover', 'Jeffrey Q Forrest', '41456', '46569', '19', '548', '6555'),
(4901727177929720, 'Visa', 'Chase', 'Harry P Obrien', '41640', '46753', '16', '530', '9621'),
(4831616588498960, 'Visa', 'Bank of America', 'Elsa B Egan', '40483', '40848', '19', '351', '7700'),
(5172682441559310, 'Master Card', 'Barclays', 'Tony K Shelton', '42217', '48427', '26', '924', '3507'),
(30017026160273, 'Diners Club International', 'Diners Club', 'Lucius S Sena', '42644', '45566', '21', '619', '330'),
(4756256159942280, 'Visa', 'U.S. Bancorp', 'Phyllis William', '42401', '44958', '26', '803', '4002'),
(6011435801844080, 'Discover', 'Discover', 'Yahaira Z Fagan', '41030', '48335', '6', '12', '9940'),
(30535316860690, 'Diners Club International', 'Diners Club', 'Christopher T Mccarthy', '42125', '47969', '21', '421', '3135'),
(343273142187540, 'American Express', 'U.S. Bancorp', 'Devin Vinson', '39753', '45597', '4', '3792', '4896'),
(4115058592649190, 'Visa', 'Chase', 'Paul D Blevins', '39295', '44409', '14', '88', '2452'),
(30187288710865, 'Diners Club International', 'Diners Club', 'Val Hargrave', '39083', '41275', '18', '965', '636'),
(5454781323388820, 'Master Card', 'Chase', 'Sarah K Carroll', '41699', '46447', '11', '608', '5407'),
(6452120382642390, 'Discover', 'Discover', 'Reed F Kang', '41244', '45992', '20', '940', '7506'),
(5395789938132940, 'Master Card', 'U.S. Bancorp', 'Ethel S Blair', '42705', '44896', '12', '679', '8843'),
(3560852979258230, 'Japan Credit Bureau', 'JCB', 'Arlen O Dahl', '41487', '42583', '1', '120', '1300'),
(36391661230186, 'Diners Club International', 'Diners Club', 'Derek W Mullen', '40148', '41609', '25', '914', '6405'),
(6011387930969050, 'Discover', 'Discover', 'Mickey S Hartley', '43009', '45931', '16', '970', '8039'),
(6011127989015740, 'Discover', 'Discover', 'Irene R Sexton', '42948', '48427', '10', '293', '9163'),
(5211961566874630, 'Master Card', 'Capital One', 'Joyce E Faber', '42309', '47788', '2', '767', '7089'),
(6011545789791430, 'Discover', 'Discover', 'Kim J Stone', '41306', '42767', '14', '688', '1285'),
(3575080989149270, 'Japan Credit Bureau', 'JCB', 'Eusebio D Easley', '42036', '49341', '20', '353', '9154'),
(3576731896504400, 'Japan Credit Bureau', 'JCB', 'Jerome E Alston', '42125', '47239', '26', '174', '1053'),
(6478458177593010, 'Discover', 'Discover', 'Tiffiny Flannery', '42430', '46813', '11', '522', '8210'),
(377729894625911, 'American Express', 'American Express', 'Jesus C Ewing', '40299', '41030', '17', '1681', '53'),
(30321572928988, 'Diners Club International', 'Diners Club', 'Reginald Denny', '42522', '43617', '10', '612', '8955'),
(30347724390405, 'Diners Club International', 'Diners Club', 'Janet K Gaines', '40817', '43374', '15', '794', '5833'),
(4206863571346400, 'Visa', 'Bank of America', 'Clarice D Mast', '41852', '47696', '12', '616', '3823'),
(4262562483381890, 'Visa', 'Chase', 'Gail Y Hardy', '40787', '41883', '10', '550', '5853'),
(6561522477698680, 'Discover', 'Discover', 'Dodie J Hutto', '41913', '46661', '28', '550', '6137'),
(3539389192600710, 'Japan Credit Bureau', 'JCB', 'Renee D Sykes', '39539', '45383', '9', '803', '3038'),
(5468258369479490, 'Master Card', 'Bank of America', 'Terica Pleasant', '40878', '43800', '5', '682', '8451'),
(6011808580349070, 'Discover', 'Discover', 'Terry P Cole', '42005', '46753', '25', '266', '5744'),
(6011958011924790, 'Discover', 'Discover', 'Colby T Barela', '41122', '42217', '4', '556', '7650'),
(5370772897680630, 'Master Card', 'USAA', 'Anne X Tran', '41760', '43952', '15', '145', '7447'),
(3560140373385250, 'Japan Credit Bureau', 'JCB', 'Kum Wyatt', '42036', '44593', '16', '620', '882'),
(6011578998506330, 'Discover', 'Discover', 'Jane K Perez', '39295', '40391', '24', '23', '3980'),
(341187332646804, 'American Express', 'USAA', 'Enrique V Slone', '42278', '42644', '6', '9664', '8851'),
(30372334987473, 'Diners Club International', 'Diners Club', 'Alma L Bailey', '40422', '47362', '27', '429', '8613'),
(5197324300566140, 'Master Card', 'Chase', 'Rayford Ferguson', '42005', '46388', '24', '515', '5580'),
(3567512657745510, 'Japan Credit Bureau', 'JCB', 'Anna Z Gay', '39448', '43466', '22', '561', '7798'),
(6011683186605970, 'Discover', 'Discover', 'Maynard A Sprague', '40756', '45139', '11', '748', '6161'),
(5443114241999570, 'Master Card', 'Bank of America', 'Stanley R Bishop', '41306', '44228', '19', '921', '2896'),
(6520926068263380, 'Discover', 'Discover', 'Kiesha U Tuttle', '39264', '41091', '7', '830', '6589'),
(4258039962702570, 'Visa', 'Chase', 'William Z Beach', '39448', '45658', '7', '626', '5690'),
(6449481230531530, 'Discover', 'Discover', 'Vance V Nall', '39508', '42795', '4', '209', '2223'),
(5295646030965820, 'Master Card', 'Chase', 'Angela J Farmer', '39569', '41030', '3', '910', '7996'),
(5486440730802510, 'Master Card', 'Citibank', 'Rufina Witt', '39448', '40909', '1', '471', '3939'),
(3567736579777140, 'Japan Credit Bureau', 'JCB', 'Mary G Mccray', '40969', '44986', '24', '102', '8193'),
(30508784562239, 'Diners Club International', 'Diners Club', 'Beaulah C Wooden', '39417', '41609', '21', '901', '3554'),
(30242788566521, 'Diners Club International', 'Diners Club', 'Tony Z Espinoza', '40238', '46082', '9', '140', '9979'),
(6223185071759710, 'Discover', 'Discover', 'Cary R Rankin', '41944', '48153', '17', '342', '2553'),
(39443650765826, 'Diners Club International', 'Diners Club', 'Kim V Reed', '39934', '46508', '19', '178', '1164'),
(4248831328232660, 'Visa', 'Cabela’s WFB', 'Queen D Horn', '41974', '46722', '1', '490', '709'),
(5212394642199210, 'Master Card', 'GE Capital', 'Leonard H Mooney', '40422', '45536', '14', '618', '2814'),
(376369749340621, 'American Express', 'American Express', 'Erlinda Villarreal', '42705', '44166', '28', '2944', '3651'),
(30196824289912, 'Diners Club International', 'Diners Club', 'Dana W Peck', '41183', '47757', '23', '596', '1563'),
(6227352864121150, 'Discover', 'Discover', 'Casey Draper', '42064', '42795', '18', '42', '929'),
(375892141309234, 'American Express', 'American Express', 'Donald S Mccoy', '41821', '46204', '20', '3956', '399'),
(6011524386444740, 'Discover', 'Discover', 'Monet Q Swenson', '39630', '41821', '18', '191', '8660'),
(372125032278256, 'American Express', 'American Express', 'Clara Blackburn', '42186', '42552', '14', '7085', '5738'),
(6011149668637260, 'Discover', 'Discover', 'Raisa Lowman', '42401', '49341', '5', '841', '3301'),
(30318477901268, 'Diners Club International', 'Diners Club', 'Denise S Leon', '39356', '41183', '25', '838', '1098'),
(6011577324246040, 'Discover', 'Discover', 'Andre X Townsend', '40452', '43739', '5', '384', '5618'),
(3560442131182170, 'Japan Credit Bureau', 'JCB', 'Laurie N Welch', '40483', '46692', '26', '645', '198'),
(4229650497024540, 'Visa', 'GE Capital', 'Alida W Morey', '42430', '46082', '24', '107', '6415'),
(3528702225346010, 'Japan Credit Bureau', 'JCB', 'Francis Eaton', '41699', '42795', '4', '742', '4768'),
(30964139466545, 'Diners Club International', 'Diners Club', 'Sharan Hatchett', '41153', '43344', '23', '426', '8080'),
(30205217319689, 'Diners Club International', 'Diners Club', 'Adam K Gonzalez', '42675', '49614', '27', '777', '4905'),
(4513717738532330, 'Visa', 'Chase', 'August L Harwood', '42125', '43952', '9', '76', '8518'),
(3560225528660670, 'Japan Credit Bureau', 'JCB', 'Kelly Cooper', '41913', '47757', '10', '517', '2289'),
(5421325652647900, 'Master Card', 'Capital One', 'Dustin R Barron', '42826', '49035', '18', '835', '6525'),
(4235630235114130, 'Visa', 'Chase', 'Danny C Ellison', '41640', '43101', '15', '740', '9045'),
(3536740941795780, 'Japan Credit Bureau', 'JCB', 'Rosario U Perales', '39814', '47119', '22', '460', '173'),
(4569169398621250, 'Visa', 'Wells Fargo', 'Kyle L Johnston', '39114', '45323', '20', '622', '7600'),
(39158335668621, 'Diners Club International', 'Diners Club', 'Twanna Q Gist', '41579', '45962', '12', '226', '2262'),
(6011799166014130, 'Discover', 'Discover', 'Grace Z Guzman', '41244', '44166', '18', '830', '9316'),
(6011661213668590, 'Discover', 'Discover', 'Pamella G Asbury', '39692', '41153', '7', '682', '9412'),
(4622723306680310, 'Visa', 'First National', 'Roy Mcdowell', '42125', '49065', '1', '339', '2229'),
(30985998394767, 'Diners Club International', 'Diners Club', 'Sylvester Y Sneed', '39114', '40575', '15', '25', '3838'),
(4144501800284710, 'Visa', 'Citibank', 'Wayne H Vasquez', '43009', '48122', '14', '88', '706'),
(6488536525905260, 'Discover', 'Discover', 'Eulalia H Blanton', '39753', '44501', '6', '14', '9395'),
(3575074236730070, 'Japan Credit Bureau', 'JCB', 'Patricia F Mcdaniel', '41852', '44774', '20', '968', '2320'),
(348269916125414, 'American Express', 'American Express', 'Lia Kitchen', '42522', '44348', '5', '8285', '5939'),
(5443340501095620, 'Master Card', 'Chase', 'Stacy Copeland', '41214', '48519', '26', '407', '9775'),
(5428980231675310, 'Master Card', 'Citibank', 'Salley G Estes', '41183', '45931', '9', '150', '8566'),
(5245362818436950, 'Master Card', 'Bank of America', 'Adam Hines', '42736', '45658', '13', '924', '8170'),
(4972167318695010, 'Visa', 'Chase', 'Eliseo U Lightner', '39692', '42248', '21', '874', '803'),
(6011074144451070, 'Discover', 'Discover', 'Karen V Dillon', '40087', '45200', '25', '981', '439'),
(30921437146278, 'Diners Club International', 'Diners Club', 'Bong R Beyer', '39904', '45017', '18', '188', '3306'),
(6544300840051140, 'Discover', 'Discover', 'Ana Howard', '39995', '42917', '1', '148', '6257'),
(5253833642462660, 'Master Card', 'Citibank', 'Cary Denny', '42370', '44562', '18', '583', '2122'),
(349924459581865, 'American Express', 'American Express', 'Deborah Bowen', '41275', '46023', '15', '6748', '2245'),
(3557406502011000, 'Japan Credit Bureau', 'JCB', 'Dallas X Solis', '41821', '45108', '24', '532', '3094'),
(4637208926537190, 'Visa', 'Wells Fargo', 'Lillian E Knox', '39448', '43466', '5', '674', '3770'),
(30902286359048, 'Diners Club International', 'Diners Club', 'Dwight U Dube', '41000', '47574', '5', '769', '1450'),
(6011313155331150, 'Discover', 'Discover', 'Melvin Ross', '42278', '45931', '7', '516', '1160'),
(36741601104661, 'Diners Club International', 'Diners Club', 'Ricky H Ferguson', '41548', '48122', '25', '200', '8160'),
(3556982747915340, 'Japan Credit Bureau', 'JCB', 'Joshua B Reese', '40940', '46784', '26', '670', '5645'),
(3555972173738930, 'Japan Credit Bureau', 'JCB', 'Collin Stanford', '41334', '43525', '23', '756', '7107'),
(371721762281246, 'American Express', 'American Express', 'Jacob W Steele', '40299', '47604', '2', '7605', '2844'),
(6468887095636910, 'Discover', 'Discover', 'Kurt S Fenner', '41061', '46174', '20', '308', '9642'),
(5371602529137710, 'Master Card', 'Wells Fargo', 'Frank H Vaughan', '41091', '47665', '3', '881', '4092'),
(6011200264248480, 'Discover', 'Discover', 'Merry Norton', '41640', '46023', '15', '572', '5587'),
(3557004251262030, 'Japan Credit Bureau', 'JCB', 'Carl W Mosley', '43070', '50010', '7', '168', '8440'),
(378337835936840, 'American Express', 'American Express', 'Owen Burleson', '41395', '42125', '12', '627', '2243'),
(6011032998256880, 'Discover', 'Discover', 'Steve M Parsons', '39539', '43922', '6', '346', '627'),
(5496823941053130, 'Master Card', 'Citibank', 'Mertie W Rosser', '42979', '48092', '16', '806', '5467'),
(341317664429442, 'American Express', 'American Express', 'Joel X William', '42705', '49644', '9', '2234', '2846'),
(4217357546512450, 'Visa', 'Chase', 'Vernon N Ezell', '39934', '42491', '20', '530', '9387'),
(4778436300601040, 'Visa', 'Chase', 'Danny B Calderon', '40238', '44256', '6', '75', '605'),
(30522037962195, 'Diners Club International', 'Diners Club', 'Donny E Yocum', '39753', '40118', '14', '829', '3806'),
(3566131005531180, 'Japan Credit Bureau', 'JCB', 'Marilyn F Torres', '39845', '46419', '3', '857', '5506'),
(3571686356843540, 'Japan Credit Bureau', 'JCB', 'Sigrid I Holman', '39417', '44166', '3', '884', '873'),
(340565121311790, 'American Express', 'U.S. Bancorp', 'Doris Y Slater', '42156', '49461', '28', '6840', '250'),
(5135934390821450, 'Master Card', 'Capital One', 'Shon X Flannery', '41365', '44287', '6', '893', '5060'),
(6011483948505510, 'Discover', 'Discover', 'Melanie M Floyd', '41091', '42552', '2', '829', '3682'),
(3565692709001040, 'Japan Credit Bureau', 'JCB', 'Dorsey Y Button', '42217', '46966', '7', '878', '3036'),
(5204366870086850, 'Master Card', 'Bank of America', 'Bill Q Keller', '39692', '45901', '23', '959', '6186'),
(4272250810798490, 'Visa', 'Citibank', 'Mimi B Ornelas', '40330', '46905', '14', '625', '2479'),
(6011274112983210, 'Discover', 'Discover', 'Darrell Q Harding', '43040', '48153', '3', '159', '8243'),
(6011774345739160, 'Discover', 'Discover', 'Leslie U Himes', '40148', '40513', '14', '451', '1398'),
(5335079923538110, 'Master Card', 'USAA', 'Sara K Brooks', '42552', '43647', '2', '144', '7469'),
(6483123039503720, 'Discover', 'Discover', 'Kia M Urbina', '39387', '41214', '23', '652', '2023'),
(6519296818954430, 'Discover', 'Discover', 'Florence V Kennedy', '39448', '44197', '9', '637', '1939'),
(378843308291944, 'American Express', 'American Express', 'Anh Vallejo', '41640', '46753', '20', '3717', '5829'),
(5272756029463070, 'Master Card', 'Chase', 'Dennis L Dean', '41699', '46813', '7', '821', '117'),
(30113756180597, 'Diners Club International', 'Diners Club', 'Kellye L Lockwood', '41821', '45839', '2', '698', '8759'),
(375624860718216, 'American Express', 'Bank of America', 'Laura I English', '42461', '48305', '5', '4046', '190'),
(5354670352200270, 'Master Card', 'Bank of America', 'Lula S Carson', '41852', '45139', '13', '516', '8198'),
(6011207456744830, 'Discover', 'Discover', 'Lois Sears', '39387', '44501', '11', '684', '4143'),
(6011717805367850, 'Discover', 'Discover', 'Garland King', '39873', '44621', '27', '61', '5775'),
(5232036424248470, 'Master Card', 'Bank of America', 'Dolores F Greer', '41609', '48914', '26', '800', '4360'),
(30924575372276, 'Diners Club International', 'Diners Club', 'Branden Mchenry', '40878', '47818', '1', '544', '2536'),
(4088593414932050, 'Visa', 'Bank of America', 'Mildred T Camacho', '42401', '43497', '9', '53', '3085'),
(4308081305059690, 'Visa', 'GE Capital', 'Scottie C Sample', '42156', '46905', '11', '668', '5580'),
(6011266609888240, 'Discover', 'Discover', 'Ronald Bowers', '40940', '41306', '7', '667', '7544'),
(375288998230369, 'American Express', 'American Express', 'Palma West', '41214', '48153', '15', '3817', '7685'),
(30108629701686, 'Diners Club International', 'Diners Club', 'Karen O Rhodes', '41791', '42156', '18', '142', '6039'),
(348644754481600, 'American Express', 'American Express', 'Lenna Bach', '40756', '46966', '4', '3689', '4016'),
(30399843541376, 'Diners Club International', 'Diners Club', 'Leslie O Griffin', '41244', '43435', '3', '373', '2844'),
(5267755939177260, 'Master Card', 'Bank of America', 'Oliver Hulsey', '41609', '45992', '3', '435', '2460'),
(4132845898556660, 'Visa', 'GE Capital', 'Micheal N Roth', '42736', '50041', '20', '512', '2187'),
(5199427926343230, 'Master Card', 'Citibank', 'Scott Massie', '39203', '42856', '22', '382', '6659'),
(5108468611946320, 'Master Card', 'Wells Fargo', 'Eric Brewer', '41944', '44501', '25', '384', '4156'),
(30334204069287, 'Diners Club International', 'Diners Club', 'Jack F Romano', '42522', '44348', '18', '925', '3300'),
(36816546336535, 'Diners Club International', 'Diners Club', 'Gordon V Edwards', '40756', '41122', '21', '101', '7831'),
(5246677126883590, 'Master Card', 'Wells Fargo', 'Candace K Reedy', '39417', '43435', '3', '176', '7728'),
(6456780188158200, 'Discover', 'Discover', 'Yvonne Hester', '40269', '41730', '24', '711', '9447'),
(3584780863316160, 'Japan Credit Bureau', 'JCB', 'Oscar C Ott', '42461', '44287', '11', '233', '4432'),
(375039180857901, 'American Express', 'USAA', 'Theresa S Love', '39692', '46631', '17', '9484', '5923'),
(5280351765474100, 'Master Card', 'Chase', 'Ilene Parrott', '39600', '44348', '6', '85', '1492'),
(6576582634303670, 'Discover', 'Discover', 'Tom L Rosales', '39965', '41426', '20', '715', '6537'),
(6011218221121470, 'Discover', 'Discover', 'Keenan I Mahan', '42156', '43617', '11', '29', '518'),
(4536203570296420, 'Visa', 'Chase', 'Tyler R Day', '40664', '43586', '8', '698', '8097'),
(6011670115343020, 'Discover', 'Discover', 'Rosemarie Y Robles', '42522', '45809', '16', '993', '6173'),
(5481255053925360, 'Master Card', 'Capital One', 'Roberta William', '40360', '45839', '16', '680', '1382'),
(5407568863861770, 'Master Card', 'Chase', 'Marth C Wilkinson', '40695', '43252', '10', '752', '1818'),
(377906579004634, 'American Express', 'American Express', 'Craig Suarez', '39264', '44013', '5', '1526', '9200'),
(343239346854474, 'American Express', 'American Express', 'Gil E Karr', '41518', '43344', '21', '5423', '357'),
(5443567739439660, 'Master Card', 'Chase', 'Lloyd E Downs', '39356', '46296', '26', '281', '8851'),
(5384330795443010, 'Master Card', 'Chase', 'Leland R Rowley', '39479', '40940', '19', '545', '1843'),
(345651376073239, 'American Express', 'Bank of America', 'Anthony S Glover', '39142', '41334', '2', '5512', '4322'),
(30044619855077, 'Diners Club International', 'Diners Club', 'Corrin Michel', '42156', '47270', '20', '941', '1896'),
(347899817292144, 'American Express', 'USAA', 'Sheila Yates', '42217', '47331', '10', '17', '6015'),
(30502107464835, 'Diners Club International', 'Diners Club', 'Matt Ponder', '42979', '47362', '27', '846', '7513'),
(30279538999891, 'Diners Club International', 'Diners Club', 'Ann R Rice', '40787', '45170', '27', '916', '8331'),
(4558417834694750, 'Visa', 'USAA', 'Kent Z Irving', '42552', '48761', '5', '30', '9315'),
(6011942760332750, 'Discover', 'Discover', 'Johnny R Dale', '42736', '47484', '23', '735', '7919'),
(3544231302484610, 'Japan Credit Bureau', 'JCB', 'Tangela Linder', '42005', '46753', '6', '889', '1811'),
(5228947298907950, 'Master Card', 'Chase', 'Theodore Thornton', '41699', '46813', '16', '519', '7899'),
(377726364994389, 'American Express', 'American Express', 'Len Mcmichael', '39508', '42430', '13', '8831', '5721'),
(370896170052560, 'American Express', 'Bank of America', 'Lillian A Clarke', '40513', '41244', '21', '7374', '5872'),
(4201167580967020, 'Visa', 'Chase', 'Christene Z Ralph', '42491', '46143', '5', '254', '8943'),
(4575835275350900, 'Visa', 'Citibank', 'Henry Q Francis', '39479', '40940', '15', '239', '6037'),
(4129647944969130, 'Visa', 'Chase', 'Heidy Z Ostrander', '41579', '44866', '10', '105', '5207'),
(30991026246359, 'Diners Club International', 'Diners Club', 'Jay Berger', '39569', '41760', '6', '667', '8220'),
(5289859640843170, 'Master Card', 'Chase', 'Josh Y Driver', '41183', '45931', '25', '860', '1990'),
(3541273127022370, 'Japan Credit Bureau', 'JCB', 'Carolyn P Whitney', '41122', '41487', '14', '146', '9125'),
(4628038430921770, 'Visa', 'Chase', 'Vergie N Muncy', '40909', '41640', '7', '966', '1756'),
(349579113116894, 'American Express', 'American Express', 'Jimmy E Austin', '39142', '44621', '3', '1719', '3633'),
(4737540037380890, 'Visa', 'Capital One', 'Jacqui Elder', '40725', '41091', '14', '479', '3067'),
(343019088242025, 'American Express', 'American Express', 'Mario O Mcgee', '40725', '46204', '24', '2840', '6443'),
(6011146618568200, 'Discover', 'Discover', 'Shelba Z Worden', '40817', '44470', '22', '597', '653'),
(6011141567367510, 'Discover', 'Discover', 'Frances J Gould', '41671', '43862', '1', '181', '6885'),
(4453291311288300, 'Visa', 'Chase', 'Lavern Hardwick', '41730', '43922', '12', '568', '5979'),
(6011836075743730, 'Discover', 'Discover', 'Francisco J Wright', '41883', '46266', '8', '572', '2204'),
(30434335906751, 'Diners Club International', 'Diners Club', 'Diego I Eskridge', '41122', '42948', '10', '371', '2387'),
(4190976424642380, 'Visa', 'Chase', 'Debbie H Copeland', '40725', '45839', '2', '795', '7135'),
(5329612105494780, 'Master Card', 'Capital One', 'Joseph O Daughtry', '39630', '46569', '14', '640', '1374'),
(5426961909461540, 'Master Card', 'Capital One', 'Charlie D Howe', '41334', '43891', '26', '36', '82'),
(4052949858236490, 'Visa', 'USAA', 'Sindy B Serna', '42614', '49188', '4', '740', '9058'),
(376093352370366, 'American Express', 'American Express', 'Darlene Vaughan', '42675', '44136', '24', '391', '8707'),
(39618697917650, 'Diners Club International', 'Diners Club', 'Ronald Tabor', '42948', '45139', '21', '777', '4406'),
(6011306306490450, 'Discover', 'Discover', 'Clifford F Beasley', '40848', '41214', '15', '523', '246'),
(36255477075947, 'Diners Club International', 'Diners Club', 'Darrel Blalock', '40664', '46508', '11', '665', '3284'),
(3558186368394120, 'Japan Credit Bureau', 'JCB', 'Cindy Phillips', '42522', '48366', '3', '752', '4371'),
(3533583975329790, 'Japan Credit Bureau', 'JCB', 'Shella V Mayfield', '41061', '42522', '4', '34', '4884'),
(4022853880090770, 'Visa', 'GE Capital', 'Chris Whitney', '40057', '41518', '2', '582', '8892'),
(340367832888228, 'American Express', 'American Express', 'Ronda Blevins', '41821', '42186', '21', '7789', '9606'),
(4873484317737060, 'Visa', 'Chase', 'Ida Bean', '42461', '43191', '6', '733', '1130'),
(6477329557172920, 'Discover', 'Discover', 'Jody Clarke', '40940', '43497', '18', '727', '9934'),
(341332618688795, 'American Express', 'U.S. Bancorp', 'Mary O Strong', '42095', '42461', '14', '5429', '269'),
(341095608428783, 'American Express', 'American Express', 'Jayson S Barber', '40878', '46357', '28', '3575', '8396'),
(4566839018363510, 'Visa', 'Chase', 'Jacob O Lamb', '41579', '42675', '2', '178', '8492'),
(4586224675592590, 'Visa', 'Capital One', 'Ara R Navarrete', '41030', '46143', '15', '144', '9150'),
(30158294535869, 'Diners Club International', 'Diners Club', 'Lauren D Stuart', '39692', '40787', '20', '359', '1217'),
(374806506263472, 'American Express', 'American Express', 'Inga B Ballou', '40634', '46113', '1', '269', '2263'),
(346619377410121, 'American Express', 'American Express', 'Renee V Randolph', '39448', '46023', '8', '5673', '9258'),
(6011854155563580, 'Discover', 'Discover', 'Deshawn Stallworth', '42461', '49400', '1', '664', '2255'),
(30932487069427, 'Diners Club International', 'Diners Club', 'Veronica T Walls', '42491', '45778', '22', '347', '8195'),
