insert into creitcardsexcel values('Card Type Full Name', 'Issuing Bank', Card Number, 'Card Holder's Name', CVV/CVV2, Issue Date, Expiry Date, Billing Date, Card PIN, Credit Limit),
('Japan Credit Bureau', 'JCB', 3537621501516950, 'Miles M Tracey', 510, 42948, 49157, 22, 3419, 158000),
('Diners Club International', 'Diners Club', 30041713938577, 'Frederick Z Richardson', 630, 39387, 46327, 5, 7721, 130800),
('Visa', 'Chase', 4800915755326310, 'Tambra S Hollis', 613, 39448, 42736, 13, 9819, 115400),
('Discover', 'Discover', 6011315654956170, 'Beth J Schroeder', 43, 41395, 48700, 2, 394, 155600),
('American Express', 'American Express', 349183223184858, 'Michale W Walsh', 2023, 39264, 44013, 3, 2433, 183900),
('Discover', 'Discover', 6011558808755110, 'Denise Thompson', 895, 40940, 45323, 26, 1892, 21100),
('Master Card', 'Citibank', 5366185485453340, 'Shelby O Hills', 872, 39904, 46478, 8, 6165, 18100),
('American Express', 'American Express', 373238902147839, 'Steven P Kirk', 966, 41456, 44743, 22, 7276, 63900),
('Japan Credit Bureau', 'JCB', 3567453749678780, 'Aurelio B Harlow', 388, 42430, 46447, 16, 6527, 136500),
('Diners Club International', 'Diners Club', 30521236819545, 'Judy U Pollard', 778, 39356, 44835, 21, 7895, 36900),
('Master Card', 'Capital One', 5358151359720590, 'Rima W Wolfe', 211, 40299, 43586, 9, 5805, 17000),
('Diners Club International', 'Diners Club', 30149592844087, 'Anna L Anthony', 999, 41730, 46478, 3, 7909, 165400),
('Discover', 'Discover', 6229071608220360, 'Foster Bullard', 48, 43009, 48488, 15, 8469, 155300),
('Diners Club International', 'Diners Club', 30154886061703, 'Kenneth U Shepherd', 654, 43070, 50010, 12, 3047, 199500),
('American Express', 'American Express', 373401397050963, 'Verdie Z Newby', 8901, 43070, 44166, 4, 9912, 60600),
('Visa', 'Bank of America', 4434736286155840, 'Marjorie Holloway', 555, 40057, 41153, 20, 9400, 198900),
('Visa', 'First National', 4538987498109180, 'Elisha Garay', 539, 41244, 44896, 27, 5063, 179400),
('Master Card', 'Bank of America', 5117518005612560, 'Ruby L Noel', 150, 41852, 47331, 18, 2566, 180400),
('Diners Club International', 'Diners Club', 30192964367782, 'Luanne B Vines', 100, 41518, 46631, 25, 5956, 195400),
('Discover', 'Discover', 6011842231401020, 'Barry J Garner', 813, 39083, 46023, 10, 9961, 179400),
('Discover', 'Discover', 6011102994610260, 'Vincent A Harrell', 393, 42125, 42856, 18, 9799, 81400),
('American Express', 'American Express', 343253898124400, 'Alex R Maldonado', 8278, 42248, 42979, 4, 1602, 41400),
('Japan Credit Bureau', 'JCB', 3551794339129450, 'Hoyt Halcomb', 435, 42186, 46935, 3, 1614, 58300),
('Visa', 'Chase', 4185256510780480, 'Ida R Stone', 677, 40057, 45170, 23, 7187, 20000),
('Japan Credit Bureau', 'JCB', 3543112852216680, 'Frances M Kong', 791, 40118, 41944, 7, 8016, 38400),
('Master Card', 'Citibank', 5159532115961320, 'Jean K Medina', 87, 40330, 46174, 14, 9767, 70700),
('Diners Club International', 'Diners Club', 30343406916484, 'Darren U Wickham', 676, 40210, 40575, 16, 1175, 126900),
('American Express', 'Bank of America', 343811155515568, 'Anita D Young', 9523, 42309, 49614, 28, 8840, 153100),
('Diners Club International', 'Diners Club', 30229292311619, 'Chance G Lamar', 133, 43070, 43435, 5, 4552, 190700),
('Discover', 'Discover', 6011284001900210, 'Mildred I Chavez', 580, 39995, 43647, 14, 8168, 97100),
('Japan Credit Bureau', 'JCB', 3566102434772460, 'Clotilde Downing', 583, 41334, 42064, 16, 4442, 166100),
('Japan Credit Bureau', 'JCB', 3585423475557220, 'Carl L Ford', 618, 43040, 48153, 9, 6130, 107800),
('Discover', 'Discover', 6591192929611450, 'Thaddeus G Woodard', 26, 39753, 44136, 6, 3906, 157400),
('Master Card', 'Bank of America', 5400912528395260, 'Brent R Baldwin', 916, 39569, 45413, 15, 8936, 182200),
('Master Card', 'Citibank', 5134671152118370, 'Jayson P Dingle', 228, 39173, 42461, 11, 8146, 193500),
('Diners Club International', 'Diners Club', 30080607116726, 'Roberta Burnett', 842, 42064, 47178, 11, 9493, 175800),
('Diners Club International', 'Diners Club', 30150377840365, 'Magdalene Smith', 641, 41183, 43009, 18, 2890, 120600),
('Master Card', 'Capital One', 5381261748765360, 'Mildred Ball', 899, 42156, 45809, 14, 7260, 28800),
('Diners Club International', 'Diners Club', 39635611251545, 'Marcelene U Ledesma', 8, 40695, 41791, 25, 9846, 161600),
('American Express', 'American Express', 348917487370500, 'Marjorie Nichols', 7578, 40391, 47331, 24, 6878, 83900),
('Japan Credit Bureau', 'JCB', 3586145051099460, 'Cindi S Christman', 728, 39326, 40057, 18, 5787, 56200),
('American Express', 'American Express', 376057555169537, 'Elizabeth Y Whitney', 6362, 42036, 44593, 21, 5917, 148900),
('Master Card', 'Chase', 5213199894584060, 'Ellamae Leboeuf', 365, 42675, 46692, 17, 4336, 67500),
('American Express', 'Bank of America', 340329360963153, 'Debra Cameron', 9992, 39630, 45108, 14, 4523, 185100),
('American Express', 'USAA', 344257654456012, 'Melodee Loy', 2019, 40848, 45962, 22, 2005, 152800),
('Japan Credit Bureau', 'JCB', 3561489438284900, 'Tommy Q Forbes', 993, 41091, 46935, 12, 2302, 36400),
('Discover', 'Discover', 6011228825131870, 'Loida G Christ', 304, 41883, 48458, 22, 2555, 110600),
('Discover', 'Discover', 6521911057121670, 'Joann Huffman', 106, 39904, 40634, 21, 238, 35900),
('American Express', 'American Express', 343819879375656, 'Holli Noyes', 3965, 40238, 46082, 24, 6239, 137200),
('Discover', 'Discover', 6227260819562050, 'Jerome F Osborne', 575, 42064, 43525, 23, 7962, 190100),
('Visa', 'Chase', 4074789209887450, 'Zachery F Mohr', 266, 40269, 42826, 28, 2991, 137000),
('Master Card', 'Wells Fargo', 5497588187184800, 'Andrew Z Harrison', 212, 39661, 43678, 8, 9188, 62400),
('Japan Credit Bureau', 'JCB', 3569010035875740, 'Florentino S Lovejoy', 831, 41609, 46357, 2, 1121, 168500),
('Diners Club International', 'Diners Club', 36387560287145, 'Paula Sutton', 490, 43040, 43405, 7, 624, 192000),
('Visa', 'Barclays', 4220246891511050, 'Alexis Woodward', 637, 42552, 45474, 22, 5585, 82100),
('Master Card', 'USAA', 5432992128552360, 'Derek C Arnold', 325, 39845, 40210, 22, 2171, 42600),
('Visa', 'Citibank', 4842967986652820, 'Brittaney L Moorman', 888, 42401, 45323, 5, 2379, 68800),
('Visa', 'Barclays', 4996299530572240, 'Evelyn M Griffith', 592, 40087, 45200, 4, 8728, 64500),
('Diners Club International', 'Diners Club', 30582400334208, 'Charles Bernier', 651, 42675, 45231, 16, 8140, 80300),
('Master Card', 'Barclays', 5469608468194990, 'Andrew P Stanley', 621, 39142, 41699, 9, 6403, 107600),
('Discover', 'Discover', 6443860687931580, 'Vincenzo W Appleton', 699, 42887, 48731, 8, 6493, 122600),
('Japan Credit Bureau', 'JCB', 3584091375231060, 'Kathy X Mcleod', 220, 39234, 40695, 4, 8459, 154900),
('Master Card', 'Chase', 5231503334603980, 'Ramiro T Willoughby', 434, 39264, 40360, 25, 5227, 52500),
('Visa', 'Chase', 4465781850147720, 'Randy B Kelley', 359, 42767, 45689, 14, 8795, 78900),
('Discover', 'Discover', 6011610182604310, 'Brian J Huggins', 292, 41306, 41671, 13, 851, 21600),
('Discover', 'Discover', 6226818584598630, 'Carl F Frye', 585, 39448, 42005, 21, 3278, 116000),
('Japan Credit Bureau', 'JCB', 3552842241606780, 'Charles A Toth', 874, 39295, 42217, 25, 9592, 101100),
('Japan Credit Bureau', 'JCB', 3553645961190810, 'Bertha N Knowles', 256, 39569, 46874, 7, 1739, 184400),
('Visa', 'Citibank', 4185355264045900, 'Eddy X Conover', 763, 42856, 43221, 27, 6406, 139700),
('Visa', 'Capital One', 4290867019039960, 'Alvin I Moore', 435, 39995, 41091, 28, 5951, 26800),
('Visa', 'Bank of America', 4734067080090960, 'Oren I Pennell', 657, 39264, 44013, 28, 6058, 191800),
('Master Card', 'Bank of America', 5112514750946280, 'Judy O Byers', 649, 41395, 41760, 20, 1385, 110800),
('Discover', 'Discover', 6011367334520020, 'Ralph P Beall', 693, 41579, 46692, 16, 2832, 192800),
('Diners Club International', 'Diners Club', 36291761197857, 'Erica O Ray', 956, 42614, 44805, 15, 3082, 38000),
('Diners Club International', 'Diners Club', 30170354511243, 'Classie F Spicer', 317, 39295, 46600, 23, 7938, 73800),
('Japan Credit Bureau', 'JCB', 3542009052886250, 'Timothy E Howell', 806, 42370, 45292, 9, 8425, 194700),
('Japan Credit Bureau', 'JCB', 3563068870543400, 'January I Leahy', 987, 40391, 45870, 27, 6178, 38300),
('Master Card', 'Capital One', 5136241379767960, 'Shawn Morrow', 732, 40238, 41699, 24, 2146, 67000),
('Diners Club International', 'Diners Club', 30486111569732, 'Lurline F Bateman', 46, 40940, 46784, 10, 5934, 197400),
('American Express', 'USAA', 341847934871510, 'Joann R Eaton', 1985, 40725, 45839, 6, 1372, 190200),
('American Express', 'American Express', 346116081051176, 'Michelle P Hembree', 1869, 43040, 47423, 24, 9030, 141100),
('Master Card', 'Chase', 5404801998639310, 'Sandra P Hahn', 286, 42522, 48731, 24, 1017, 109100),
('Japan Credit Bureau', 'JCB', 3548938131408010, 'Shemeka K Christie', 928, 41426, 47635, 18, 9550, 18200),
('Discover', 'Discover', 6011898088890260, 'Nancy K Porter', 469, 42248, 48823, 24, 2343, 174300),
('American Express', 'American Express', 378689348756648, 'Tyrone J Terry', 3664, 41122, 44409, 23, 3159, 186500),
('Japan Credit Bureau', 'JCB', 3538204810140530, 'Dorothy L Richards', 211, 41821, 45474, 15, 9999, 26900),
('Visa', 'GE Capital', 4667016177755060, 'Dewitt L Porter', 966, 42856, 46508, 4, 993, 150000),
('Japan Credit Bureau', 'JCB', 3571584032301850, 'Anne C Ratliff', 797, 40391, 42583, 27, 5342, 170200),
('American Express', 'USAA', 348375616294291, 'Sharilyn C Moniz', 8644, 39753, 45597, 21, 4684, 22000),
('American Express', 'American Express', 374114315569753, 'Larry England', 3022, 39264, 46204, 2, 6363, 147400),
('Visa', 'Chase', 4596590784503050, 'Zelda D Musselman', 443, 43040, 45962, 27, 1581, 194500),
('Visa', 'Citibank', 4400670693606020, 'Carl Z Richmond', 151, 40391, 46600, 20, 7035, 197500),
('American Express', 'American Express', 347405419950293, 'Jesenia K Elder', 9532, 42248, 43344, 10, 1727, 76000),
('Discover', 'Discover', 6011479124907600, 'Janice A Shaffer', 450, 39356, 43739, 28, 1371, 195400),
('Japan Credit Bureau', 'JCB', 3543817424987730, 'Dominique Pierce', 177, 40909, 41275, 24, 653, 38200),
('Master Card', 'Capital One', 5477068312955500, 'Samuel X Salas', 661, 39448, 43466, 25, 38, 180200),
('Japan Credit Bureau', 'JCB', 3578648358411640, 'Virgina B Broussard', 198, 41334, 47178, 4, 4565, 113100),
('Visa', 'Citibank', 4994057458043170, 'Pamela H Graham', 874, 39814, 44197, 25, 9811, 176000),
('Visa', 'Chase', 4598516870524960, 'Paulita Snowden', 488, 42401, 43862, 26, 6967, 58200),
('American Express', 'American Express', 346421695839424, 'Jorge D Boone', 5188, 40269, 41365, 24, 8695, 92200),
('American Express', 'U.S. Bancorp', 378796105963158, 'Gale Q Mahaffey', 5340, 40787, 41518, 6, 8293, 128400),
('Visa', 'Chase', 4819437475532230, 'Mary Leonard', 740, 41640, 48945, 27, 2027, 163400),
('Visa', 'Chase', 4198468696502470, 'Nakita P Cherry', 24, 39508, 44986, 28, 2615, 43600),
('American Express', 'American Express', 344515420238224, 'Jesse Guerrero', 1362, 41122, 44044, 5, 7360, 150500),
('American Express', 'Bank of America', 379603516376112, 'Winford Faulkner', 7745, 39234, 45444, 27, 7975, 148300),
('Master Card', 'Citibank', 5380174528547830, 'Victor Suarez', 484, 41579, 45597, 3, 8453, 137900),
('Master Card', 'Chase', 5498940534485950, 'Lazaro Selby', 891, 41487, 45870, 24, 9423, 65700),
('Japan Credit Bureau', 'JCB', 3537929949910770, 'Jacqueline E Noel', 670, 40695, 46539, 24, 1177, 105000),
('Discover', 'Discover', 6011975141587330, 'Miguel Schreiber', 799, 41365, 48305, 7, 6301, 79000),
('Master Card', 'GE Capital', 5416631648822030, 'Kyle Bright', 891, 39995, 44013, 8, 6641, 59600),
('Diners Club International', 'Diners Club', 30058658879921, 'Terrie Underwood', 612, 41609, 43800, 9, 7860, 65600),
('American Express', 'American Express', 343255890979194, 'Cindy D Ortiz', 4273, 42887, 47270, 23, 9363, 97400),
('American Express', 'American Express', 374047323556927, 'Henry J Mayer', 2553, 43040, 46327, 18, 3746, 173200),
('American Express', 'American Express', 378944896320986, 'Erica Z Gaines', 9077, 40452, 45566, 24, 792, 180900),
('American Express', 'American Express', 374790461717146, 'Sheryll G Hubert', 5862, 42826, 43556, 21, 8445, 58600),
('American Express', 'American Express', 374833689849877, 'Clara Z Pearson', 3832, 40848, 41944, 9, 990, 45900),
('Diners Club International', 'Diners Club', 36823477849072, 'Fredric Massie', 612, 40087, 44105, 3, 1224, 22600),
('Discover', 'Discover', 6550772830134390, 'Adam Palmer', 154, 42522, 49096, 15, 3792, 74800),
('Japan Credit Bureau', 'JCB', 3571549513021530, 'Vilma P Ceja', 226, 39995, 42917, 17, 5651, 196900),
('Diners Club International', 'Diners Club', 36934968975746, 'Jeff Z Fischer', 772, 41306, 42401, 4, 3261, 28500),
('Discover', 'Discover', 6466690399461070, 'Johnny Wiese', 719, 41609, 42339, 17, 5244, 70300),
('Master Card', 'Chase', 5393775002130890, 'Jonathan A Curtis', 652, 40118, 43405, 8, 1735, 182600),
('American Express', 'American Express', 343506272173826, 'Laurene D Mccaskill', 9805, 39845, 47150, 18, 4313, 119000),
('American Express', 'American Express', 341982045814321, 'Jesus Wise', 2265, 40360, 45474, 13, 2298, 143600),
('Japan Credit Bureau', 'JCB', 3542216968157130, 'Daryl D Barker', 277, 40603, 42430, 18, 5566, 128300),
('Master Card', 'Chase', 5289499788967320, 'Nicholas K Walters', 854, 39114, 40940, 17, 964, 177100),
('Discover', 'Discover', 6011965720656990, 'Rodolfo Coughlin', 12, 40575, 41671, 26, 8532, 57700),
('Discover', 'Discover', 6011056537491840, 'Raymond Cain', 648, 42217, 48427, 11, 6419, 37500),
('American Express', 'American Express', 348966394786597, 'Fay D Wolcott', 7555, 42005, 45292, 26, 5362, 33900),
('Diners Club International', 'Diners Club', 38424474424858, 'Andrea West', 421, 42583, 46600, 28, 7595, 35300),
('Master Card', 'Barclays', 5110155034239920, 'Dante P Bohn', 592, 39722, 44105, 9, 3085, 94400),
('Japan Credit Bureau', 'JCB', 3573798186776140, 'Joel Q Schroeder', 443, 42552, 45474, 15, 1922, 190400),
('Visa', 'Cabela’s WFB', 4084081713312830, 'Myesha D Ellington', 607, 42064, 46082, 16, 3865, 164000),
('Diners Club International', 'Diners Club', 30982948556637, 'Louise S Bradley', 52, 42948, 47331, 25, 9551, 17100),
('Master Card', 'Bank of America', 5450591778233600, 'Shaun Gainey', 614, 39448, 44927, 8, 7328, 31600),
('Japan Credit Bureau', 'JCB', 3570786984755250, 'Lori U Dunn', 100, 39904, 45017, 28, 1364, 18900),
('Visa', 'Chase', 4955715867647530, 'Ozell Bower', 582, 42095, 43191, 13, 1529, 94900),
('American Express', 'USAA', 379760906126596, 'Marcus B Underwood', 5913, 40087, 41183, 14, 1092, 121800),
('Visa', 'Chase', 4693143802551190, 'Chasidy P Tindall', 308, 40148, 41244, 19, 1603, 72900),
('Diners Club International', 'Diners Club', 30043950639660, 'Darlene D Gallegos', 953, 40575, 42036, 11, 4342, 17100),
('Visa', 'GE Capital', 4939497850136410, 'Mariano J Fierro', 206, 39904, 43191, 22, 7686, 162100),
('Diners Club International', 'Diners Club', 36445610236353, 'Chris Salazar', 28, 39203, 41395, 5, 9849, 162700),
('American Express', 'U.S. Bancorp', 377750031455194, 'Lucio Y Styles', 7987, 39326, 43709, 2, 6146, 30000),
('Master Card', 'Chase', 5121231357351050, 'Aaron Berg', 269, 42705, 46722, 10, 775, 143700),
('Diners Club International', 'Diners Club', 30159533863336, 'Stephenie Gilchrist', 577, 42705, 43070, 23, 702, 25700),
('Discover', 'Discover', 6011648197147800, 'Victoria T Garrett', 205, 40969, 46082, 23, 6352, 78800),
('Master Card', 'Chase', 5166541157147060, 'Josef I Swank', 563, 40118, 47058, 5, 2489, 98000),
('Discover', 'Discover', 6011304982970940, 'Brandon E Hart', 468, 42217, 46600, 28, 6689, 158300),
('Master Card', 'Capital One', 5342448556384590, 'Otha P Wendt', 484, 39295, 40026, 1, 630, 134300),
('Visa', 'Barclays', 4557820731109390, 'Gordon E Hill', 941, 39965, 45444, 23, 6063, 103900),
('Master Card', 'U.S. Bancorp', 5267173227735310, 'Kelley S Watson', 7, 42614, 45170, 16, 7373, 157300),
('American Express', 'USAA', 371143519355720, 'Jose K Hardy', 4203, 39995, 42552, 2, 2491, 193700),
('Diners Club International', 'Diners Club', 30472052709768, 'Hans G Fultz', 408, 41730, 47939, 13, 4370, 195900),
('Japan Credit Bureau', 'JCB', 3585159386099670, 'Don Vaughn', 700, 39114, 41306, 25, 3907, 33400),
('Diners Club International', 'Diners Club', 36257954030049, 'Ruben Z Stahl', 926, 40848, 48153, 15, 9146, 73700),
('Japan Credit Bureau', 'JCB', 3573932591726700, 'Virginia L Owen', 974, 40725, 41821, 24, 3754, 46900),
('Diners Club International', 'Diners Club', 30473939150762, 'Joel Gustafson', 694, 42736, 43831, 7, 3325, 166500),
('Visa', 'Barclays', 4753251065589350, 'Lawrence N Hall', 49, 42826, 46844, 12, 1303, 58500),
('Japan Credit Bureau', 'JCB', 3549930483370660, 'Ellena A Prather', 728, 42491, 48335, 12, 6678, 45700),
('American Express', 'American Express', 342780676467800, 'Stephen P Willis', 4991, 42278, 43009, 19, 4502, 36800),
('Discover', 'Discover', 6453998088286880, 'Cedric U Jaynes', 366, 41030, 45413, 12, 3554, 146300),
('Diners Club International', 'Diners Club', 30312758862331, 'Beatrice C Livingston', 92, 40179, 40909, 2, 5695, 127700),
('Discover', 'Discover', 6011985996531510, 'Michael Herndon', 905, 42309, 46327, 1, 759, 49400),
('Japan Credit Bureau', 'JCB', 3560982612063110, 'Ellen G Levy', 361, 41091, 47300, 15, 2984, 199700),
('American Express', 'American Express', 370257435278047, 'Lizabeth T Guinn', 8041, 39448, 42736, 4, 8433, 133500),
('Diners Club International', 'Diners Club', 30579409375810, 'George A Newton', 995, 42767, 44958, 10, 2585, 116300),
('Japan Credit Bureau', 'JCB', 3529142116699110, 'Shane L Bean', 409, 39295, 46600, 7, 8011, 90600),
('American Express', 'U.S. Bancorp', 371531884773958, 'Carrie N Reilly', 8300, 41821, 47300, 27, 9960, 102200),
('Master Card', 'Bank of America', 5426587670477380, 'Tammie Oakes', 421, 40634, 42095, 22, 3806, 14800),
('Diners Club International', 'Diners Club', 38444645955275, 'Jeremy C Stuart', 601, 40422, 47362, 22, 62, 43100),
('Master Card', 'Citibank', 5466353721587760, 'Marci E Hager', 593, 41944, 45962, 3, 7293, 125000),
('Visa', 'Bank of America', 4163201295445290, 'Dorothy Burnett', 987, 40695, 46174, 6, 9481, 31800),
('Visa', 'First National', 4373843452204060, 'Rema Mcreynolds', 429, 39417, 41609, 21, 5646, 174700),
('American Express', 'American Express', 373220373186884, 'Eddie W Shepard', 8926, 41730, 49035, 3, 5833, 144600),
('Discover', 'Discover', 6011461932068610, 'Casie Burroughs', 78, 40148, 41609, 27, 8604, 25300),
('Discover', 'Discover', 6539175763621610, 'Ricky I Poole', 747, 39814, 41275, 17, 2170, 145000),
('Master Card', 'Chase', 5268523895168920, 'Angelo Q Canfield', 84, 39448, 46023, 3, 208, 60900),
('Discover', 'Discover', 6456196318343640, 'Lauren S Patterson', 981, 41640, 47484, 22, 6758, 46300),
('Discover', 'Discover', 6011278929713990, 'Ezekiel E Middleton', 811, 39203, 40664, 25, 4495, 166000),
('Visa', 'Citibank', 4873855557381120, 'Jay Conley', 354, 41000, 43922, 4, 1004, 42200),
('Diners Club International', 'Diners Club', 30100237309960, 'Milissa B Bonner', 813, 41852, 42948, 23, 6688, 28500),
('Visa', 'USAA', 4422242087541360, 'Audrey T Berg', 558, 42036, 45689, 24, 876, 72800),
('Japan Credit Bureau', 'JCB', 3545794512817090, 'Terrance V Scully', 654, 39569, 45047, 12, 3970, 156000),
('Discover', 'Discover', 6011401659907320, 'Gerald L Gonzales', 342, 39783, 44531, 15, 9594, 101500),
('Visa', 'U.S. Bancorp', 4996538562159280, 'Andre Woodcock', 278, 42248, 46997, 26, 2376, 190800),
('Japan Credit Bureau', 'JCB', 3569148489446140, 'Victoria N Fitzgerald', 265, 42522, 45078, 24, 1940, 133700),
('Master Card', 'Wells Fargo', 5172629578609970, 'Rich Y Fogarty', 757, 40210, 42036, 15, 8894, 88200),
('Visa', 'Wells Fargo', 4409051376496400, 'Timothy G Solis', 155, 40878, 43800, 5, 2968, 198300),
('Japan Credit Bureau', 'JCB', 3541194142119800, 'Dara G Olson', 519, 40087, 47392, 9, 314, 77700),
('Discover', 'Discover', 6011826608611100, 'Joel H Santana', 313, 41244, 48549, 2, 6448, 178100),
('Master Card', 'Chase', 5452018091234930, 'Jimmy Polk', 394, 39264, 41821, 23, 2902, 126900),
('Discover', 'Discover', 6011935930821690, 'Melanie S Crosby', 840, 40360, 46935, 17, 850, 184100),
('Discover', 'Discover', 6011767506507060, 'Willian E Woodley', 117, 40210, 46054, 11, 9454, 52300),
('American Express', 'American Express', 342010043617436, 'Samantha I May', 6041, 39234, 41061, 5, 3172, 126400),
('American Express', 'U.S. Bancorp', 340890861232083, 'Willard F Hedrick', 3068, 40299, 46508, 27, 2800, 142800),
('Discover', 'Discover', 6011479535853500, 'Dustin G Stephens', 176, 41913, 47757, 4, 3443, 31000),
('Diners Club International', 'Diners Club', 30367530882221, 'Kory D Styles', 586, 40787, 47362, 4, 7310, 114200),
('Diners Club International', 'Diners Club', 30373370677671, 'Leo Beard', 97, 40940, 46054, 24, 5192, 39500),
('Discover', 'Discover', 6222335024372080, 'Awilda U Ng', 875, 39630, 45839, 9, 2475, 155200),
('Visa', 'USAA', 4511455392185630, 'Luis H Terrell', 702, 39845, 41306, 25, 9712, 26000),
('Japan Credit Bureau', 'JCB', 3570527667819370, 'Domenic D Mayberry', 964, 40634, 45383, 16, 5119, 80300),
('Japan Credit Bureau', 'JCB', 3583264050571560, 'Clara U Oneal', 765, 43009, 50314, 27, 4424, 145500),
('Diners Club International', 'Diners Club', 30559735526310, 'Jamal Mccants', 131, 41730, 46478, 4, 9302, 61800),
('Japan Credit Bureau', 'JCB', 3569801912111850, 'Darrell X Morrison', 364, 42767, 48245, 17, 8159, 60100),
('Discover', 'Discover', 6011010516853360, 'Hellen Easley', 94, 40026, 44409, 8, 5493, 194000),
('Discover', 'Discover', 6011243396370310, 'Jamie N Conrad', 76, 42401, 42767, 16, 8655, 153800),
('Discover', 'Discover', 6505812120580590, 'Alton Shields', 296, 40299, 42491, 13, 3047, 176100),
('American Express', 'American Express', 373936091728034, 'Connie A Roman', 2590, 40057, 42979, 10, 111, 107100),
('American Express', 'American Express', 372461194984310, 'Darin A Platt', 1042, 39783, 44166, 4, 2579, 70900),
('Visa', 'Chase', 4439938810468020, 'Timothy Long', 562, 40360, 40725, 22, 1072, 137000),
('Discover', 'Discover', 6011320418302100, 'Humberto Culp', 469, 40118, 45231, 21, 7274, 102300),
('American Express', 'American Express', 370409388281870, 'Gordon T Neal', 1507, 39234, 45444, 2, 5497, 178800),
('Discover', 'Discover', 6011145909603640, 'Jerilyn F Fincher', 138, 39814, 45658, 15, 4712, 162500),
('Diners Club International', 'Diners Club', 30179589616743, 'Diana D Mcmillan', 595, 40238, 44621, 6, 2292, 129900),
('Discover', 'Discover', 6011086573163980, 'Toshia E Fabian', 278, 39873, 46447, 16, 3255, 127600),
('Visa', 'Chase', 4780356328177320, 'Luis Stark', 137, 41730, 46844, 9, 1134, 137900),
('Discover', 'Discover', 6559906040441240, 'Lisabeth D Bradshaw', 744, 40544, 41275, 19, 9574, 37300),
('Visa', 'U.S. Bancorp', 4376147054928860, 'Ashley X Compton', 180, 39114, 43497, 6, 4898, 156600),
('Japan Credit Bureau', 'JCB', 3555741545778960, 'Pearlie L Garza', 503, 41275, 46023, 16, 6369, 192200),
('Visa', 'Citibank', 4848507950537760, 'Rhonda D Benton', 611, 42095, 47209, 19, 1500, 128800),
('Visa', 'Barclays', 4922935383862420, 'Jamison O Southern', 878, 40057, 45901, 2, 1847, 129400),
('Visa', 'PNC', 4725630825460490, 'Peggy F Maynard', 604, 41579, 41944, 1, 463, 114100),
('Diners Club International', 'Diners Club', 30225035721288, 'Daren M Ruiz', 824, 39814, 40909, 14, 5017, 45900),
('Visa', 'U.S. Bancorp', 4034484091807020, 'Annie R Maxwell', 776, 41579, 42309, 25, 2024, 105100),
('Diners Club International', 'Diners Club', 30311047267450, 'Darin C Cheek', 227, 41671, 46784, 11, 3373, 114300),
('Japan Credit Bureau', 'JCB', 3579566409514600, 'Eddie S Holt', 947, 40179, 47484, 9, 9089, 84800),
('Discover', 'Discover', 6011471759156470, 'Ellena Burroughs', 421, 41395, 43586, 28, 2021, 24400),
('Master Card', 'Capital One', 5150871995484270, 'Hazel W Case', 781, 42979, 46631, 19, 4862, 165500),
('Japan Credit Bureau', 'JCB', 3589328449838710, 'Angelika Craven', 792, 41091, 41456, 19, 5809, 183300),
('Visa', 'Bank of America', 4922412791456780, 'Sally Forbes', 17, 40695, 41791, 27, 1434, 125100),
('Master Card', 'Chase', 5456089970351610, 'Azucena U Horsley', 77, 42156, 46905, 26, 8534, 160100),
('Visa', 'Bank of America', 4795978703367430, 'Ronnie O Buchanan', 925, 41699, 47543, 14, 7180, 176600),
('Japan Credit Bureau', 'JCB', 3533519219127460, 'Faye Q Luckett', 55, 39114, 46419, 13, 5780, 83400),
('American Express', 'American Express', 340584660457179, 'Samantha X Eaton', 3016, 41730, 43191, 1, 3242, 102200),
('Diners Club International', 'Diners Club', 39265758714475, 'Cher B Furr', 52, 42856, 44682, 18, 446, 102900),
('American Express', 'American Express', 345983107210941, 'Carl M Vargas', 5067, 42125, 45047, 23, 1936, 13000),
('Diners Club International', 'Diners Club', 30283761998489, 'Ivory A Whitlow', 929, 41487, 44774, 14, 2540, 107200),
('Visa', 'Chase', 4721890279163040, 'Sherry H Massey', 800, 41456, 48761, 4, 2379, 148800),
('American Express', 'Bank of America', 345763021739856, 'Sherri Moultrie', 5775, 41061, 43617, 26, 7288, 37100),
('American Express', 'U.S. Bancorp', 341182836347801, 'Kenneth Moore', 2176, 43040, 48519, 12, 1159, 36100),
('American Express', 'American Express', 378544228014776, 'Ozella York', 3674, 40725, 46569, 15, 8126, 37900),
('Visa', 'Chase', 4722196475743170, 'Emily N Garner', 347, 41579, 43770, 23, 8358, 24100),
('Master Card', 'Capital One', 5298268194028870, 'Jessenia D Delaney', 340, 41061, 43617, 19, 3640, 126600),
('Japan Credit Bureau', 'JCB', 3556707839397700, 'Wanda W Keller', 275, 39234, 39600, 28, 1732, 98800),
('American Express', 'American Express', 341397692415761, 'Sammy Holley', 1896, 41730, 42826, 12, 14, 43400),
('American Express', 'American Express', 345518756551888, 'Brian X Mendez', 2293, 41426, 45444, 12, 4376, 43600),
('Diners Club International', 'Diners Club', 30114905682046, 'Brett W Coyle', 820, 40422, 41883, 13, 3040, 197000),
('Master Card', 'U.S. Bancorp', 5469547780250720, 'Brent Pacheco', 844, 41821, 43647, 7, 3672, 118900),
('Master Card', 'Capital One', 5213567374473050, 'Randolph W Wagoner', 781, 39114, 44593, 10, 6276, 97600),
